Year,Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Reunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2017,United Arab Emirates,"7,813",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,906","1,044,505",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5,103",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"857,947",N/A,N/A,"18,440",N/A,"10,538",N/A,N/A,N/A,N/A,"17,302",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,310,419","304,044",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"161,143",N/A,N/A,N/A,"64,398",N/A,N/A,N/A,"39,972",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"8,529",N/A,N/A,N/A,N/A,"26,595","3,010",N/A,N/A,N/A,N/A,"14,971",N/A,N/A,N/A,N/A,"950,145",N/A,N/A,N/A,N/A,N/A,"538,590",N/A,N/A,N/A,"2,549",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6,275",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"9,284",N/A,"15,186",N/A,"114,911","55,608","127,057",N/A,N/A,N/A,N/A,"50,463",N/A,N/A,"12,227",N/A,N/A,N/A,N/A,N/A,"5,602","36,417",N/A,N/A,N/A,N/A,N/A,N/A,"27,840",N/A,"14,898",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"196,095",N/A,N/A
2017,Yemen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"11,225",N/A,N/A,"1,020",N/A,"5,806",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,"9,915",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"278,891",N/A,N/A,N/A,N/A,"3,800","27,397",N/A,N/A,N/A,N/A,"2,977",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A
2017,Belarus,280,N/A,52,N/A,N/A,N/A,N/A,N/A,101,"5,705",N/A,27,58,"13,440",N/A,N/A,N/A,N/A,N/A,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,N/A,N/A,60,N/A,N/A,N/A,N/A,N/A,154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,N/A,N/A,95,59,N/A,198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,230",24,N/A,N/A,N/A,"2,102",N/A,N/A,N/A,N/A,N/A,"8,473",65,N/A,N/A,107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,340,N/A,47,N/A,48,N/A,23,N/A,385,23,N/A,N/A,29,"69,682",N/A,N/A,N/A,"5,213",N/A,"10,444",64,N/A,N/A,N/A,N/A,"17,316",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,46,N/A,N/A,N/A,N/A,N/A,N/A,476,N/A,N/A,N/A,28,"7,578",N/A,22,"679,682",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34,N/A,N/A,N/A,N/A,26,N/A,N/A,N/A,N/A,N/A,34,N/A,N/A,N/A,N/A,N/A,338,28,82,"5,656",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,"5,442",N/A,N/A,N/A,"224,847",22,459,N/A,86,N/A,27,"14,729",N/A,N/A,364,N/A,N/A,32,N/A,N/A
2017,Bulgaria,483,"1,706",555,N/A,N/A,10,54,6,178,"2,252",6,297,781,"2,963",5,22,865,5,"1,064","1,597",2,45,2,36,27,167,41,171,108,1,N/A,19,26,10,19,22,713,N/A,3,N/A,6,N/A,35,"1,471",N/A,N/A,49,N/A,19,N/A,10,10,137,405,N/A,"1,074","1,627",N/A,22,224,3,N/A,41,22,241,8,N/A,3,112,80,N/A,N/A,1,172,"1,987",N/A,N/A,16,17,505,"5,763",20,8,"11,688",2,N/A,N/A,N/A,6,11,6,5,6,N/A,2,550,20,281,55,424,"1,306",351,N/A,652,"3,582",6,213,289,"1,689",25,5,150,160,1,239,"1,008",N/A,6,309,2,206,73,2,N/A,3,2,1,82,1,N/A,3,1,N/A,65,N/A,12,104,41,N/A,127,50,N/A,6,2,10,"1,163",N/A,63,47,1,141,N/A,N/A,265,3,128,N/A,10,3,2,36,73,"2,286",418,N/A,27,N/A,"3,162",N/A,"8,524","30,950",2,N/A,N/A,N/A,N/A,N/A,8,6,N/A,54,16,"4,190",N/A,2,17,N/A,473,117,N/A,21,260,N/A,"6,440",12,8,56,N/A,3,345,437,"2,055",205,"3,777",26,N/A,N/A,N/A,1,N/A,142,"9,867",425,3,2,8,"9,639",141,"8,025",19,"3,204",N/A,22,"1,134",22,49,943,1,N/A,74,16,42
2017,Czechia,347,286,676,N/A,N/A,195,N/A,N/A,111,"2,228",N/A,438,"2,405",745,N/A,16,127,1,"4,187",468,N/A,43,3,3,75,"2,798",81,329,N/A,N/A,"6,709",12,4,11,20,88,590,N/A,N/A,N/A,7,N/A,92,"5,219",N/A,N/A,165,1,54,N/A,30,80,"1,516",397,N/A,86,N/A,27,59,288,3,2,34,83,519,11,N/A,3,139,78,N/A,N/A,3,238,"2,186",N/A,N/A,2,11,"1,073","12,129",123,N/A,529,N/A,1,N/A,N/A,32,76,20,7,4,N/A,10,845,29,"1,010",129,340,477,510,N/A,450,"2,505",11,"1,477",161,"5,078",84,1,93,783,29,247,349,2,9,159,1,506,17,29,N/A,365,3,30,17,N/A,N/A,4,29,N/A,262,N/A,3,"5,716",34,N/A,266,5,61,22,N/A,114,"2,477",N/A,123,11,6,537,N/A,N/A,122,N/A,413,N/A,26,3,33,182,350,"20,531",140,N/A,6,"1,112","10,740",N/A,"4,250","31,228",5,N/A,N/A,3,N/A,1,N/A,1,2,66,55,848,N/A,11,33,N/A,"76,649",241,N/A,37,305,N/A,546,105,114,65,7,N/A,377,486,592,319,"2,121",564,N/A,13,N/A,N/A,4,603,"1,004",164,N/A,N/A,24,"136,287",35,"4,206",21,"3,643",N/A,19,"2,410",1,91,"58,039",N/A,N/A,194,55,39
2017,Hungary,"1,418",271,789,N/A,N/A,83,N/A,N/A,392,190,N/A,997,"9,917",256,8,20,73,2,216,"2,146",3,9,1,N/A,52,276,6,774,N/A,N/A,"1,416",N/A,N/A,N/A,59,281,"2,544",N/A,N/A,6,2,N/A,149,"18,204",N/A,N/A,238,N/A,82,N/A,48,43,"2,110",582,N/A,293,"1,558",N/A,45,495,N/A,N/A,44,152,"1,496",18,N/A,35,163,140,N/A,N/A,N/A,833,"4,397",N/A,N/A,12,11,244,"31,721",141,N/A,"1,289",N/A,2,N/A,N/A,23,40,4,8,N/A,N/A,11,N/A,143,"1,466",250,"2,441","1,060","1,370",N/A,"1,734","5,261",29,"1,697",507,595,112,N/A,282,147,57,195,427,4,32,452,5,222,198,35,N/A,104,N/A,24,96,N/A,N/A,6,60,N/A,536,N/A,5,964,66,N/A,259,20,14,20,N/A,72,"3,539",N/A,191,25,9,"1,676",N/A,N/A,"1,307",27,442,N/A,34,4,17,204,322,"3,406",520,N/A,78,"1,190",257,N/A,"208,490","4,055",18,N/A,3,N/A,N/A,5,N/A,N/A,N/A,473,40,"41,428",N/A,37,91,N/A,"21,158",425,N/A,663,370,N/A,"2,215",77,78,202,N/A,N/A,"1,670","2,924","1,870",16,214,943,N/A,14,N/A,N/A,11,365,"2,331",N/A,N/A,N/A,43,"50,253",352,"9,392",62,"8,216",N/A,66,163,N/A,242,"3,488",N/A,N/A,329,20,38
2017,Poland,147,130,610,N/A,N/A,60,N/A,N/A,285,"2,205",N/A,951,"3,970",277,N/A,N/A,104,N/A,"79,534","5,467",N/A,N/A,N/A,N/A,50,"3,642",N/A,273,N/A,N/A,"1,812",N/A,N/A,N/A,26,38,"3,091",N/A,N/A,N/A,N/A,N/A,62,"1,232",N/A,N/A,128,N/A,111,N/A,37,N/A,823,235,N/A,216,"4,727",N/A,N/A,934,N/A,N/A,20,47,473,N/A,N/A,24,209,45,N/A,N/A,N/A,261,"27,361",N/A,N/A,N/A,N/A,341,"79,940",37,N/A,"3,246",N/A,N/A,N/A,N/A,N/A,59,N/A,26,N/A,N/A,N/A,"1,406",515,897,118,241,445,"7,952",N/A,362,"10,407",N/A,534,143,"4,822",63,N/A,201,129,N/A,"1,624",401,N/A,N/A,251,N/A,"52,841",241,N/A,N/A,41,N/A,31,N/A,N/A,N/A,N/A,N/A,N/A,221,N/A,24,337,62,N/A,333,27,N/A,N/A,N/A,58,"2,713",N/A,111,N/A,N/A,399,N/A,N/A,"1,600",N/A,223,N/A,34,N/A,N/A,117,204,N/A,143,N/A,25,123,581,N/A,"2,597","39,959",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,183,92,"1,083",N/A,N/A,N/A,N/A,"1,356",160,N/A,N/A,399,N/A,"5,049",90,N/A,118,N/A,N/A,"1,369","1,063",615,61,276,102,N/A,N/A,N/A,N/A,N/A,428,915,56,N/A,N/A,65,"209,001",129,"36,186",71,"14,320",N/A,98,519,N/A,75,"2,924",N/A,N/A,119,42,107
2017,Republic of Moldova,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,964,N/A,N/A,N/A,N/A,"3,259",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,133,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,913,880,N/A,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,239,N/A,N/A,N/A,"5,079",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,203,102,N/A,N/A,N/A,N/A,N/A,"1,322","58,073",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,180,N/A,N/A,N/A,N/A,"62,728",N/A,N/A,N/A,N/A,N/A,N/A,"1,035",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,Romania,N/A,514,171,N/A,N/A,N/A,N/A,N/A,N/A,42,N/A,N/A,671,N/A,N/A,N/A,131,N/A,N/A,"1,453",N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,N/A,N/A,"13,805",N/A,N/A,N/A,N/A,47,N/A,N/A,N/A,N/A,N/A,N/A,32,"4,909",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55,N/A,404,182,N/A,N/A,346,N/A,N/A,22,N/A,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"8,536",N/A,N/A,N/A,N/A,75,"8,643",75,N/A,"6,138",N/A,N/A,N/A,N/A,N/A,64,N/A,N/A,N/A,N/A,N/A,"8,469",N/A,102,N/A,"1,663","1,871",866,N/A,"2,423","50,893",N/A,N/A,158,112,N/A,N/A,N/A,N/A,N/A,N/A,327,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,N/A,75,N/A,N/A,N/A,N/A,N/A,N/A,153,N/A,N/A,N/A,N/A,N/A,170,N/A,N/A,N/A,N/A,N/A,261,N/A,N/A,N/A,N/A,224,N/A,N/A,346,N/A,381,N/A,N/A,N/A,17,N/A,N/A,224,480,N/A,N/A,N/A,"151,249",N/A,N/A,"6,950",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,"7,628",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"39,492",N/A,94,N/A,N/A,N/A,251,208,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,400","7,992",N/A,N/A,N/A,N/A,"15,698",N/A,"6,870",N/A,"3,793",N/A,N/A,N/A,N/A,40,105,N/A,N/A,N/A,N/A,N/A
2017,Russian Federation,"5,098",234,778,43,N/A,511,49,N/A,252,"527,659",N/A,543,"2,955","767,881",N/A,N/A,471,N/A,"764,819",471,N/A,94,N/A,N/A,84,515,28,433,N/A,N/A,"5,845",445,131,45,114,334,558,N/A,N/A,91,152,N/A,107,"56,210",60,N/A,206,88,580,N/A,32,110,321,"2,228",N/A,716,"11,264","10,631",N/A,231,N/A,N/A,N/A,241,"1,060",N/A,104,N/A,"58,792",272,N/A,N/A,N/A,"2,211","2,568",N/A,N/A,N/A,N/A,"450,539","142,126",316,N/A,"1,953",N/A,N/A,N/A,N/A,N/A,204,131,N/A,N/A,N/A,N/A,"16,852",44,"5,705",163,"2,013",986,175,N/A,"3,651","1,897",N/A,"1,025",816,"2,562,079",451,N/A,85,"591,767",122,"89,452",968,N/A,N/A,270,N/A,"71,128",36,84,29,"1,557",45,73,54,N/A,N/A,N/A,64,N/A,204,N/A,45,"21,158",263,N/A,"1,101",111,626,121,N/A,175,548,N/A,86,60,30,796,N/A,50,701,52,728,N/A,25,N/A,36,277,147,"29,227",232,N/A,26,"3,723","294,522",N/A,"3,913",N/A,45,N/A,N/A,N/A,N/A,N/A,N/A,46,N/A,219,73,N/A,N/A,N/A,50,N/A,"1,833",350,N/A,59,240,N/A,"1,394",588,566,258,N/A,N/A,475,580,"3,267","466,837",255,217,N/A,N/A,N/A,N/A,N/A,335,"10,244","185,795",N/A,582,82,"3,272,304",355,"1,742",217,"4,591",N/A,121,"1,147,613",N/A,98,"13,680",N/A,31,648,471,73
2017,Slovakia,159,96,106,N/A,N/A,25,N/A,N/A,86,149,N/A,280,"3,278",37,N/A,N/A,N/A,N/A,223,838,N/A,N/A,N/A,N/A,N/A,408,N/A,107,N/A,N/A,"2,276",N/A,N/A,N/A,N/A,N/A,457,N/A,N/A,N/A,146,N/A,29,"1,079",N/A,N/A,56,N/A,22,N/A,N/A,N/A,836,143,N/A,111,"92,832",N/A,N/A,251,N/A,N/A,N/A,36,188,N/A,N/A,N/A,54,32,N/A,N/A,N/A,156,"3,090",N/A,N/A,N/A,N/A,82,"4,855",20,N/A,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"18,229",48,154,29,132,79,839,N/A,188,"2,792",N/A,140,58,251,25,N/A,74,24,N/A,140,109,N/A,N/A,57,N/A,139,51,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,85,N/A,N/A,66,40,N/A,54,N/A,N/A,N/A,N/A,N/A,570,N/A,36,N/A,N/A,110,N/A,N/A,709,N/A,88,N/A,N/A,N/A,N/A,57,31,"7,005",165,N/A,N/A,547,116,N/A,"8,474","2,880",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,N/A,"1,948",N/A,N/A,N/A,N/A,N/A,322,N/A,N/A,112,N/A,852,N/A,39,N/A,N/A,N/A,266,645,237,N/A,750,64,N/A,N/A,N/A,N/A,N/A,149,320,N/A,N/A,N/A,N/A,"10,396",69,"5,083",N/A,"2,221",N/A,N/A,47,N/A,N/A,"2,187",N/A,N/A,36,N/A,N/A
2017,Ukraine,"2,133",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"47,780",N/A,N/A,N/A,"83,121",N/A,N/A,N/A,N/A,"247,989",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,749",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6,625",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"10,324",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"65,042","1,093",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,854",N/A,"2,157",N/A,N/A,N/A,"3,789",N/A,N/A,N/A,"3,751","224,467",N/A,N/A,N/A,"26,996",N/A,"19,691","1,781",N/A,N/A,N/A,N/A,"24,662",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,754",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,108",N/A,N/A,N/A,N/A,"151,242",N/A,N/A,"3,309,525",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,528",N/A,N/A,N/A,N/A,N/A,"3,757","29,660",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,368","22,828",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,765",N/A,N/A,"222,012",N/A,N/A,"12,513",N/A,N/A,N/A,N/A,N/A
2017,Channel Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,998",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,995",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"13,986",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"59,939",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,Denmark,"14,064",368,"1,094",N/A,1,181,N/A,3,"1,403",784,6,"3,462","2,193",353,19,104,"1,245",38,815,"2,353",7,54,N/A,704,530,"21,492",76,"3,824",N/A,7,"6,435",115,634,31,272,816,"4,362",N/A,N/A,11,17,N/A,"1,848","13,377",604,N/A,"3,750",14,866,N/A,199,512,937,554,N/A,210,"1,324",443,"1,136",N/A,23,16,187,683,"1,956",96,N/A,375,"1,721","2,450","14,137",N/A,24,"4,383","8,163",N/A,N/A,6,745,253,"42,372","2,174",N/A,"2,471","18,855",11,N/A,N/A,275,131,69,116,180,N/A,148,"4,553","9,668","11,020","1,323","16,190","25,918","1,882",N/A,"1,959","7,306",199,"2,204","1,394",241,"1,838",1,"1,616",55,71,"5,095","14,982",55,199,282,23,"10,222",576,68,101,982,9,59,115,N/A,N/A,30,166,N/A,"1,327",N/A,18,69,180,N/A,"6,460",239,"2,060",72,N/A,"2,349","8,197",N/A,957,219,17,"1,614",N/A,N/A,"23,315",31,"14,963",N/A,94,9,81,"1,268","12,482","37,197","1,788",N/A,102,"10,526",488,N/A,"16,059","6,612",451,N/A,N/A,9,N/A,6,20,2,N/A,304,178,"2,009",20,404,890,N/A,"1,545",386,2,"12,252","2,150",N/A,"6,759","9,472",N/A,817,34,55,"25,936","3,084","4,957",30,"3,429","14,206",N/A,169,N/A,18,190,"1,061","39,533",17,N/A,N/A,"1,700","7,880",426,"21,286","1,222","14,186",N/A,274,320,3,809,"12,052",N/A,N/A,190,696,488
2017,Estonia,10,5,11,N/A,N/A,1,N/A,N/A,11,610,N/A,55,61,"1,416",N/A,N/A,9,N/A,"11,331",103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,N/A,N/A,68,N/A,N/A,N/A,2,N/A,100,N/A,N/A,N/A,N/A,N/A,5,177,N/A,N/A,10,N/A,2,N/A,N/A,N/A,10,16,N/A,10,58,4,N/A,118,N/A,N/A,N/A,5,35,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,"2,123",187,N/A,N/A,N/A,N/A,"1,415","1,211",4,N/A,21,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,87,18,98,4,24,7,128,N/A,43,260,N/A,48,2,"3,626",N/A,N/A,4,525,N/A,"3,770",7,N/A,N/A,2,N/A,"1,774",11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,N/A,N/A,46,N/A,N/A,12,N/A,N/A,N/A,N/A,17,113,N/A,8,N/A,N/A,11,N/A,N/A,131,N/A,27,N/A,N/A,N/A,N/A,12,14,529,37,N/A,N/A,16,782,N/A,55,"137,011",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,1,N/A,12,5,N/A,N/A,19,N/A,144,6,N/A,2,N/A,N/A,399,36,4,355,2,12,N/A,N/A,N/A,N/A,N/A,5,76,316,N/A,N/A,N/A,"20,676",5,463,2,552,N/A,2,"1,038",N/A,5,8,N/A,N/A,N/A,N/A,4
